timestamp,Position Value,datetime
1715861100000.0,0.0,2024-05-16 12:05:00
1715861400000.0,0.0,2024-05-16 12:10:00
1715861700000.0,0.0,2024-05-16 12:15:00
1715862000000.0,0.0,2024-05-16 12:20:00
1715862300000.0,0.0,2024-05-16 12:25:00
1715862600000.0,0.0,2024-05-16 12:30:00
1715862900000.0,0.0,2024-05-16 12:35:00
1715863200000.0,0.0,2024-05-16 12:40:00
1715863500000.0,0.0,2024-05-16 12:45:00
1715863800000.0,0.0,2024-05-16 12:50:00
1715864100000.0,0.0,2024-05-16 12:55:00
1715864400000.0,0.0,2024-05-16 13:00:00
1715864700000.0,0.0,2024-05-16 13:05:00
1715865000000.0,0.0,2024-05-16 13:10:00
1715865300000.0,0.0,2024-05-16 13:15:00
1715865600000.0,0.0,2024-05-16 13:20:00
1715865900000.0,0.0,2024-05-16 13:25:00
1715866200000.0,0.0,2024-05-16 13:30:00
1715866500000.0,0.0,2024-05-16 13:35:00
1715866800000.0,0.0,2024-05-16 13:40:00
1715867100000.0,0.0,2024-05-16 13:45:00
1715867400000.0,0.0,2024-05-16 13:50:00
1715867700000.0,0.0,2024-05-16 13:55:00
1715868000000.0,0.0,2024-05-16 14:00:00
1715868300000.0,0.0,2024-05-16 14:05:00
1715868600000.0,0.0,2024-05-16 14:10:00
1715868900000.0,0.0,2024-05-16 14:15:00
1715869200000.0,0.0,2024-05-16 14:20:00
1715869500000.0,0.0,2024-05-16 14:25:00
1715869800000.0,0.0,2024-05-16 14:30:00
1715870100000.0,0.0,2024-05-16 14:35:00
1715870400000.0,0.0,2024-05-16 14:40:00
1715870700000.0,0.0,2024-05-16 14:45:00
1715871000000.0,0.0,2024-05-16 14:50:00
1715871300000.0,0.0,2024-05-16 14:55:00
1715871600000.0,0.0,2024-05-16 15:00:00
1715871900000.0,0.0,2024-05-16 15:05:00
1715872200000.0,0.0,2024-05-16 15:10:00
1715872500000.0,0.0,2024-05-16 15:15:00
1715872800000.0,0.0,2024-05-16 15:20:00
1715873100000.0,0.0,2024-05-16 15:25:00
1715873400000.0,0.0,2024-05-16 15:30:00
1715873700000.0,0.0,2024-05-16 15:35:00
1715874000000.0,0.0,2024-05-16 15:40:00
1715874300000.0,0.0,2024-05-16 15:45:00
1715874600000.0,0.0,2024-05-16 15:50:00
1715874900000.0,0.0,2024-05-16 15:55:00
1715875200000.0,0.0,2024-05-16 16:00:00
1715875500000.0,0.0,2024-05-16 16:05:00
1715875800000.0,0.0,2024-05-16 16:10:00
1715876100000.0,0.0,2024-05-16 16:15:00
1715876400000.0,0.0,2024-05-16 16:20:00
1715876700000.0,0.0,2024-05-16 16:25:00
1715877000000.0,0.0,2024-05-16 16:30:00
1715877300000.0,0.0,2024-05-16 16:35:00
1715877600000.0,0.0,2024-05-16 16:40:00
1715877900000.0,0.0,2024-05-16 16:45:00
1715878200000.0,0.0,2024-05-16 16:50:00
1715878500000.0,0.0,2024-05-16 16:55:00
1715878800000.0,0.0,2024-05-16 17:00:00
1715879100000.0,0.0,2024-05-16 17:05:00
1715879400000.0,0.0,2024-05-16 17:10:00
1715879700000.0,0.0,2024-05-16 17:15:00
1715880000000.0,0.0,2024-05-16 17:20:00
1715880300000.0,0.0,2024-05-16 17:25:00
1715880600000.0,0.0,2024-05-16 17:30:00
1715880900000.0,0.0,2024-05-16 17:35:00
1715881200000.0,0.0,2024-05-16 17:40:00
1715881500000.0,0.0,2024-05-16 17:45:00
1715881800000.0,0.0,2024-05-16 17:50:00
1715882100000.0,0.0,2024-05-16 17:55:00
1715882400000.0,0.0,2024-05-16 18:00:00
1715882700000.0,0.0,2024-05-16 18:05:00
1715883000000.0,0.0,2024-05-16 18:10:00
1715883300000.0,0.0,2024-05-16 18:15:00
1715883600000.0,0.0,2024-05-16 18:20:00
1715883900000.0,0.0,2024-05-16 18:25:00
1715884200000.0,0.0,2024-05-16 18:30:00
1715884500000.0,0.0,2024-05-16 18:35:00
1715884800000.0,0.0,2024-05-16 18:40:00
1715885100000.0,0.0,2024-05-16 18:45:00
1715885400000.0,0.0,2024-05-16 18:50:00
1715885700000.0,0.0,2024-05-16 18:55:00
1715886000000.0,0.0,2024-05-16 19:00:00
1715886300000.0,0.0,2024-05-16 19:05:00
1715886600000.0,0.0,2024-05-16 19:10:00
1715886900000.0,0.0,2024-05-16 19:15:00
1715887200000.0,0.0,2024-05-16 19:20:00
1715887500000.0,0.0,2024-05-16 19:25:00
1715887800000.0,0.0,2024-05-16 19:30:00
1715888100000.0,0.0,2024-05-16 19:35:00
1715888400000.0,0.0,2024-05-16 19:40:00
1715888700000.0,0.0,2024-05-16 19:45:00
1715889000000.0,0.0,2024-05-16 19:50:00
1715889300000.0,0.0,2024-05-16 19:55:00
1715889600000.0,0.0,2024-05-16 20:00:00
1715889900000.0,0.0,2024-05-16 20:05:00
1715890200000.0,0.0,2024-05-16 20:10:00
1715890500000.0,0.0,2024-05-16 20:15:00
1715890800000.0,0.0,2024-05-16 20:20:00
1715891100000.0,0.0,2024-05-16 20:25:00
1715891400000.0,0.0,2024-05-16 20:30:00
1715891700000.0,0.0,2024-05-16 20:35:00
1715892000000.0,0.0,2024-05-16 20:40:00
1715892300000.0,0.0,2024-05-16 20:45:00
1715892600000.0,0.0,2024-05-16 20:50:00
1715892900000.0,0.0,2024-05-16 20:55:00
1715893200000.0,0.0,2024-05-16 21:00:00
