timestamp,PEPE,DOGE,BONK,SHIB,TRUMP,datetime
1738457743360.0,0.10575032,0.040574905,0.10530231,0.052886907,0.15510835,2025-02-02 00:55:43.360
1738458005504.0,0.10756854,0.040550116,0.10517221,0.053875927,0.15016279,2025-02-02 01:00:05.504
1738458267648.0,0.099866554,0.037385676,0.09807565,0.050913066,0.1524552,2025-02-02 01:04:27.648
1738458660864.0,0.09940992,0.037376095,0.09983318,0.052287478,0.1486707,2025-02-02 01:11:00.864
1738458923008.0,0.09908473,0.035875343,0.09803599,0.049704496,0.14849381,2025-02-02 01:15:23.008
1738459185152.0,0.09942569,0.035392817,0.10106338,0.051082235,0.1496436,2025-02-02 01:19:45.152
1738459447296.0,0.098106116,0.035814047,0.09736194,0.050272685,0.14555341,2025-02-02 01:24:07.296
1738459840512.0,0.10218724,0.037893064,0.09978933,0.05287296,0.15506172,2025-02-02 01:30:40.512
1738460102656.0,0.102686815,0.037931185,0.09870214,0.053921007,0.1531418,2025-02-02 01:35:02.656
1738460364800.0,0.10000082,0.036777582,0.09685819,0.053221088,0.15623522,2025-02-02 01:39:24.800
1738460626944.0,0.10294309,0.038271327,0.101071745,0.054228883,0.15934974,2025-02-02 01:43:46.944
1738461020160.0,0.104037456,0.038793527,0.10196937,0.054023974,0.15699536,2025-02-02 01:50:20.160
1738461413376.0,0.10318143,0.03816182,0.102499254,0.05380426,0.15784039,2025-02-02 01:56:53.376
1738461544448.0,0.1040034,0.040312026,0.10546334,0.055304956,0.15676962,2025-02-02 01:59:04.448
1738461806592.0,0.10529539,0.042435456,0.10824913,0.05694847,0.15810573,2025-02-02 02:03:26.592
1738462199808.0,0.10625567,0.04294261,0.10925385,0.05726199,0.15789327,2025-02-02 02:09:59.808
1738462593024.0,0.10872374,0.044930115,0.11209606,0.059345894,0.15714838,2025-02-02 02:16:33.024
1738462855168.0,0.106243156,0.042443335,0.10736268,0.05626957,0.15716442,2025-02-02 02:20:55.168
1738462986240.0,0.104455665,0.042320833,0.10807557,0.055054408,0.16138065,2025-02-02 02:23:06.240
1738463379456.0,0.106959574,0.043869533,0.11118806,0.058104213,0.15916403,2025-02-02 02:29:39.456
1738463772672.0,0.10985117,0.04479949,0.11207613,0.058500126,0.16200829,2025-02-02 02:36:12.672
1738464034816.0,0.10653531,0.044480007,0.09583567,0.058690578,0.1627554,2025-02-02 02:40:34.816
1738464296960.0,0.10981371,0.0469882,0.10034473,0.061071932,0.16277553,2025-02-02 02:44:56.960
1738464559104.0,0.11175552,0.04927224,0.10414182,0.06311779,0.16506375,2025-02-02 02:49:19.104
1738464952320.0,0.111201674,0.04988697,0.106731765,0.062868066,0.16367884,2025-02-02 02:55:52.320
1738465214464.0,0.10871048,0.047014944,0.10525541,0.062095184,0.16167985,2025-02-02 03:00:14.464
1738465476608.0,0.10937923,0.045786332,0.10858815,0.06425273,0.16455114,2025-02-02 03:04:36.608
1738465738752.0,0.11343629,0.05373551,0.113408215,0.068080075,0.16748784,2025-02-02 03:08:58.752
1738466131968.0,0.11511729,0.053409785,0.1168846,0.06886425,0.17107102,2025-02-02 03:15:31.968
1738466394112.0,0.11653962,0.055689305,0.121076874,0.07038848,0.1709639,2025-02-02 03:19:54.112
1738466656256.0,0.11210295,0.054039232,0.122053206,0.06891928,0.16489266,2025-02-02 03:24:16.256
1738467049472.0,0.10476371,0.049208973,0.11337689,0.06506219,0.15328272,2025-02-02 03:30:49.472
1738467311616.0,0.10136585,0.051255364,0.11270862,0.06449177,0.15328701,2025-02-02 03:35:11.616
1738467573760.0,0.097773254,0.05181723,0.11022555,0.06423525,0.14456165,2025-02-02 03:39:33.760
1738467835904.0,0.09790456,0.05076298,0.11077187,0.06238717,0.14449234,2025-02-02 03:43:55.904
1738468229120.0,0.099694714,0.053827047,0.11293583,0.06380422,0.14449145,2025-02-02 03:50:29.120
1738468622336.0,0.10166557,0.05973511,0.11620101,0.06808649,0.13976853,2025-02-02 03:57:02.336
1738468753408.0,0.100252956,0.06170893,0.11870573,0.06775545,0.1404357,2025-02-02 03:59:13.408
1738469015552.0,0.09189087,0.057259746,0.10782537,0.062067688,0.10645856,2025-02-02 04:03:35.552
1738469408768.0,0.088298105,0.055454973,0.1071741,0.061237894,0.09859533,2025-02-02 04:10:08.768
1738469801984.0,0.090336695,0.057128876,0.106407136,0.061497882,0.09708224,2025-02-02 04:16:41.984
1738470064128.0,0.08512383,0.051256824,0.09878134,0.059349958,0.08426603,2025-02-02 04:21:04.128
1738470195200.0,0.08795722,0.053823505,0.10303818,0.059975818,0.09415518,2025-02-02 04:23:15.200
1738470588416.0,0.09210026,0.057942364,0.10491722,0.061040193,0.09404072,2025-02-02 04:29:48.416
1738470981632.0,0.09300973,0.060240146,0.10599383,0.06381929,0.090600446,2025-02-02 04:36:21.632
1738471243776.0,0.09037553,0.058295626,0.10411429,0.062017694,0.08986497,2025-02-02 04:40:43.776
1738471374848.0,0.0889483,0.055573426,0.102468535,0.060288224,0.097652,2025-02-02 04:42:54.848
1738471768064.0,0.09001914,0.055999078,0.106391266,0.062040094,0.09586802,2025-02-02 04:49:28.064
1738472161280.0,0.09010428,0.05652495,0.10611858,0.062361624,0.09816464,2025-02-02 04:56:01.280
1738472423424.0,0.08385371,0.052015882,0.10130158,0.05764616,0.10523431,2025-02-02 05:00:23.424
1738472685568.0,0.086095974,0.05332471,0.10325029,0.0582678,0.10770885,2025-02-02 05:04:45.568
1738472947712.0,0.08804873,0.055415284,0.10568199,0.0596536,0.10935577,2025-02-02 05:09:07.712
