timestamp,Position Value,datetime
1714955700000.0,0.0020070039,2024-05-06 00:35:00
1714956000000.0,0.0020114915,2024-05-06 00:40:00
1714956300000.0,0.0020055526,2024-05-06 00:45:00
1714956600000.0,0.0020064453,2024-05-06 00:50:00
1714956900000.0,0.002005226,2024-05-06 00:55:00
1714957200000.0,0.0020074002,2024-05-06 01:00:00
1714957500000.0,0.0020116519,2024-05-06 01:05:00
1714957800000.0,0.0020108896,2024-05-06 01:10:00
1714958100000.0,0.0020128253,2024-05-06 01:15:00
1714958400000.0,0.0020075934,2024-05-06 01:20:00
1714958700000.0,0.002008187,2024-05-06 01:25:00
1714959000000.0,0.0020044348,2024-05-06 01:30:00
1714959300000.0,0.0020058863,2024-05-06 01:35:00
1714959600000.0,0.0020090714,2024-05-06 01:40:00
1714959900000.0,0.0020072886,2024-05-06 01:45:00
1714960200000.0,0.0020082067,2024-05-06 01:50:00
1714960500000.0,0.0020095073,2024-05-06 01:55:00
1714960800000.0,0.0020095063,2024-05-06 02:00:00
1714961100000.0,0.0020171236,2024-05-06 02:05:00
1714961400000.0,0.002015702,2024-05-06 02:10:00
1714961700000.0,0.0020116398,2024-05-06 02:15:00
1714962000000.0,0.0020106887,2024-05-06 02:20:00
1714962300000.0,0.0020158717,2024-05-06 02:25:00
1714962600000.0,0.002015656,2024-05-06 02:30:00
1714962900000.0,0.002011565,2024-05-06 02:35:00
1714963200000.0,0.002010379,2024-05-06 02:40:00
1714963500000.0,0.0020078574,2024-05-06 02:45:00
1714963800000.0,0.0020008767,2024-05-06 02:50:00
1714964100000.0,0.0019973668,2024-05-06 02:55:00
1714964400000.0,0.0020010634,2024-05-06 03:00:00
1714964700000.0,0.0019999703,2024-05-06 03:05:00
1714965000000.0,0.0019909234,2024-05-06 03:10:00
1714965300000.0,0.001995014,2024-05-06 03:15:00
1714965600000.0,0.0019969533,2024-05-06 03:20:00
1714965900000.0,0.0019976255,2024-05-06 03:25:00
1714966200000.0,0.0019975924,2024-05-06 03:30:00
1714966500000.0,0.0019961803,2024-05-06 03:35:00
1714966800000.0,0.0019942308,2024-05-06 03:40:00
1714967100000.0,0.0019969838,2024-05-06 03:45:00
1714967400000.0,0.0019956059,2024-05-06 03:50:00
1714967700000.0,0.0019964552,2024-05-06 03:55:00
1714968000000.0,0.0019915006,2024-05-06 04:00:00
1714968300000.0,0.001992306,2024-05-06 04:05:00
1714968600000.0,0.001994505,2024-05-06 04:10:00
1714968900000.0,0.0019995652,2024-05-06 04:15:00
1714969200000.0,0.0019979046,2024-05-06 04:20:00
1714969500000.0,0.0019964962,2024-05-06 04:25:00
1714969800000.0,0.001994646,2024-05-06 04:30:00
1714970100000.0,0.0019971817,2024-05-06 04:35:00
1714970400000.0,0.002002027,2024-05-06 04:40:00
1714970700000.0,0.0020039892,2024-05-06 04:45:00
1714971000000.0,0.0020062402,2024-05-06 04:50:00
1714971300000.0,0.0020085913,2024-05-06 04:55:00
1714971600000.0,0.0020060188,2024-05-06 05:00:00
1714971900000.0,0.0020024276,2024-05-06 05:05:00
1714972200000.0,0.001998918,2024-05-06 05:10:00
1714972500000.0,0.0020059368,2024-05-06 05:15:00
1714972800000.0,0.0020030334,2024-05-06 05:20:00
1714973100000.0,0.002003358,2024-05-06 05:25:00
1714973400000.0,0.0019984262,2024-05-06 05:30:00
1714973700000.0,0.0019996716,2024-05-06 05:35:00
1714974000000.0,0.0019974853,2024-05-06 05:40:00
1714974300000.0,0.0020022984,2024-05-06 05:45:00
1714974600000.0,0.0019967197,2024-05-06 05:50:00
1714974900000.0,0.001997608,2024-05-06 05:55:00
1714975200000.0,0.0019961006,2024-05-06 06:00:00
1714975500000.0,0.0019965589,2024-05-06 06:05:00
1714975800000.0,0.0020034497,2024-05-06 06:10:00
1714976100000.0,0.0020037729,2024-05-06 06:15:00
1714976400000.0,0.0020022835,2024-05-06 06:20:00
1714976700000.0,0.0020041268,2024-05-06 06:25:00
