timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
28972800,1.0024382810118866,1.0024687595245352,1.0002133495885401,1.0003352636391345,276896.0,28972800,90988.27927,1071,127335.0,41849.29503,0
28972801,1.000365742151783,1.0014934471197805,1.0002133495885401,1.00042669917708,252437.0,28972801,82891.2064,1036,184236.0,60497.89741,0
28972802,1.0003962206644317,1.0010057909174033,0.9997866504114599,1.0000304785126486,192850.0,28972802,63307.1845,924,47016.0,15430.03074,0
28972803,1.0000304785126486,1.0000304785126486,0.9985675099055166,0.9990246875952454,242011.0,28972803,79327.99698,773,139168.0,45612.81254,0
28972804,0.9989942090825967,1.000365742151783,0.9987808594940567,1.0,194418.0,28972804,63756.05947,710,113986.0,37376.96717,0
28972805,1.0000304785126486,1.0004571776897286,0.9995733008229197,0.9997561718988113,211253.0,28972805,69332.68322,561,34154.0,11206.71543,0
28972806,0.9998171289241085,1.0023163669612922,0.9998171289241085,1.0020420603474551,253978.0,28972806,83460.88286,481,191435.0,62909.42234,0
28972807,1.0020115818348065,1.002560195062481,1.0014324900944833,1.002560195062481,188678.0,28972807,62015.59215,623,149197.0,49036.66844,0
28972808,1.0025906735751295,1.0026821091130753,1.0018896677842122,1.0022249314233467,207951.0,28972808,68392.68858,554,72110.0,23717.06791,0
28972809,1.0022249314233467,1.004602255409936,1.0021334958854007,1.004602255409936,173198.0,28972809,57016.34199,1085,139643.0,45971.16029,0
28972810,1.004602255409936,1.004815604998476,1.0036879000304786,1.0039317281316673,691298.0,28972810,227770.781,852,332923.0,109697.72099,0
28972811,1.0039012496190185,1.0052118256629077,1.0038098140810727,1.0049070405364218,2308585.0,28972811,760731.63926,1060,1894813.0,624404.62949,0
28972812,1.0049070405364218,1.0049070405364218,1.0032307223407497,1.0037793355684244,999455.0,28972812,329133.51778,850,407750.0,134299.89226,0
28972813,1.0037488570557758,1.0054556537640964,1.0036269430051814,1.0052423041755563,861314.0,28972813,283743.97236,721,752395.0,247849.51143,0
28972814,1.0052118256629077,1.0053642182261504,1.0047546479731788,1.0051508686376105,484133.0,28972814,159649.66502,752,271820.0,89635.70564,0
28972815,1.0051508686376105,1.006065224017068,1.005120390124962,1.005912831453825,2880415.0,28972815,950190.89316,1390,2524501.0,832778.34694,0
28972816,1.005912831453825,1.006065224017068,1.004541298384639,1.0045717768972875,870379.0,28972816,287199.58979,957,356274.0,117540.86138,0
28972817,1.004541298384639,1.0053946967387992,1.0031088082901556,1.0037183785431272,440607.0,28972817,145181.35555,887,203510.0,67083.1142,0
28972818,1.0037183785431272,1.0044193843340445,1.003291679366047,1.004388905821396,264853.0,28972818,87226.68107,864,102442.0,33739.97676,0
28972819,1.004388905821396,1.004602255409936,1.0037488570557758,1.0037488570557758,89508.0,28972819,29495.97185,549,12914.0,4255.47702,0
28972820,1.0037488570557758,1.0037488570557758,1.0027430661383725,1.002834501676318,279301.0,28972820,91927.03673,716,85892.0,28271.11675,0
28972821,1.002834501676318,1.003291679366047,1.002773544651021,1.0030173727522096,79002.0,28972821,25998.63332,708,46594.0,15333.35796,0
28972822,1.0030478512648582,1.00387077110637,1.0027430661383725,1.00387077110637,94490.0,28972822,31108.92806,592,76909.0,25323.52232,0
28972823,1.00387077110637,1.0042060347455044,1.0034745504419385,1.00408412069491,78876.0,28972823,25978.90658,430,27788.0,9150.23646,0
28972824,1.00408412069491,1.00408412069491,1.0031088082901556,1.0031088082901556,127552.0,28972824,42001.91887,377,50987.0,16791.23583,0
28972825,1.003078329777507,1.0034135934166413,1.002560195062481,1.002560195062481,498925.0,28972825,164189.46212,643,299207.0,98466.02803,0
