timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
28972800,1.0121593291404611,1.0121593291404611,1.0054507337526204,1.0058700209643605,23659.523,28972800,569001.40227,1898,11556.199,277868.59893,0
28972801,1.0058700209643605,1.0075471698113208,1.0046121593291404,1.0050314465408805,20498.818,28972801,491766.01784,1439,6298.926,151152.40802,0
28972802,1.0050314465408805,1.0058700209643605,0.9979035639412998,0.9987421383647799,82488.441,28972802,1970812.35399,3151,13033.535,311315.33797,0
28972803,0.9987421383647799,1.0012578616352201,0.9979035639412998,0.9983228511530398,16018.406,28972803,381819.8089,1339,6092.238,145230.15617,0
28972804,0.9983228511530398,1.00041928721174,0.9974842767295596,1.0,15549.494,28972804,370483.06531,1075,9629.169,229440.08812,0
28972805,1.0,1.0037735849056604,1.0,1.0016771488469602,22231.794,28972805,530899.50843,1536,15163.635,362086.81083,0
28972806,1.0012578616352201,1.0037735849056604,1.00083857442348,1.0029350104821804,10179.449,28972806,243509.19121,609,6930.532,165798.84425,0
28972807,1.0033542976939203,1.0033542976939203,1.00041928721174,1.0016771488469602,12615.377,28972807,301438.36445,945,3713.249,88726.54177,0
28972808,1.0016771488469602,1.0033542976939203,0.9995807127882599,1.0025157232704403,6066.21,28972808,144935.93685,714,3416.99,81655.54094,0
28972809,1.0025157232704403,1.0058700209643605,1.0020964360587001,1.0058700209643605,9611.433,28972809,230144.007,860,6404.147,153392.89494,0
28972810,1.0058700209643605,1.0058700209643605,1.0020964360587001,1.0025157232704403,12172.258,28972810,291477.46523,1117,3896.694,93308.57749,0
28972811,1.0025157232704403,1.0037735849056604,1.0012578616352201,1.0025157232704403,7937.864,28972811,189784.66527,805,2239.771,53560.64019,0
28972812,1.0029350104821804,1.0033542976939203,1.00041928721174,1.0012578616352201,7592.891,28972812,181371.61771,729,5103.96,121897.50483,0
28972813,1.0012578616352201,1.0062893081761006,1.00041928721174,1.0058700209643605,19064.154,28972813,456149.03241,1161,12644.812,302572.39353,0
28972814,1.0058700209643605,1.0067085953878407,1.0041928721174003,1.0046121593291404,11067.112,28972814,265385.61553,812,6497.813,155852.39657,0
28972815,1.0050314465408805,1.011740041928721,1.0046121593291404,1.0096436058700209,42869.533,28972815,1031554.01781,2301,31188.305,750419.62655,0
28972816,1.0096436058700209,1.0104821802935011,1.0071278825995806,1.0075471698113208,7802.742,28972816,187710.30782,900,3961.13,95295.64334,0
28972817,1.0071278825995806,1.0083857442348008,1.0020964360587001,1.0041928721174003,12663.716,28972817,303619.7839,1405,5556.889,133266.35945,0
28972818,1.0041928721174003,1.0058700209643605,1.0029350104821804,1.0041928721174003,14665.066,28972818,351391.0942,856,8364.12,200441.14903,0
28972819,1.0046121593291404,1.0071278825995806,1.0041928721174003,1.0067085953878407,15020.97,28972819,360445.69928,916,8631.728,207118.93654,0
28972820,1.0067085953878407,1.0075471698113208,1.0054507337526204,1.0067085953878407,7494.909,28972820,179931.62368,645,3172.247,76162.66028,0
